filter,wavelength_nm,ring,r1_um,r2_um,r3_um,r_mean_um,r_std_um,r2_cm2
Зелёный,546.1,1,1178.62375,1179.26945,1146.0708,1167.988,18.98359749895948,0.013641959681440002
Зелёный,546.1,2,1457.89545,1452.4765,1453.3713,1454.5810833333333,2.9049847780725595,0.02115806127991174
Зелёный,546.1,3,1656.86565,1662.56635,1670.33195,1663.2546499999999,6.759484195558139,0.027664160307466226
Зелёный,546.1,4,1875.0335,1879.7778,1867.67265,1874.1613166666666,6.099523912227403,0.03512480640889734
Красный,630.0,1,1235.8658,1254.74215,1231.71165,1240.7731999999999,12.274482214435796,0.015395181338382398
Красный,630.0,2,1543.8842,1525.8487,1538.74535,1536.1594166666666,9.29166849741384,0.023597857534136738
Красный,630.0,3,1789.8882,1772.2768,1789.5306,1783.8985333333333,10.066304371184746,0.031822939772288186
Красный,630.0,4,1996.73695,2001.4994,2021.01105,2006.4158,12.86220138321981,0.040257043624896405
Оранжевый,578.4,1,1208.05185,1223.3405,1195.3857,1208.9260166666666,13.997886850551158,0.014615021137735332
Оранжевый,578.4,2,1521.41955,1495.061,1487.82245,1501.4343333333334,17.68207610649374,0.02254305057312112
Оранжевый,578.4,3,1740.7834,1730.1341,1724.0786,1731.6653666666668,8.457018917049508,0.029986649421128025
Оранжевый,578.4,4,1918.87355,1939.23735,1923.678,1927.262966666667,10.644720621549164,0.037143425426848016
Синий,435.8,1,1144.85725,1142.8507,1145.00135,1144.2364333333333,1.20224118039327,0.013092770153673876
Синий,435.8,2,1388.30625,1392.10095,1393.293,1391.2334,2.6041123521268283,0.019355303732755604
Синий,435.8,3,1598.7249,1590.8864,1606.94535,1598.852216666667,8.03023199701181,0.025563284107399144
Синий,435.8,4,1786.77895,1780.0273,1777.36785,1781.3913666666667,4.851567705992822,0.031733552012345345
